group_id,group_name,industry_name
1,"Math","Capital Markets"
1,"Math","Thrifts & Mortgage Finance"
1,"Math","Equity Real Estate Investment Trusts (REITs)"
1,"Math","Financial Exchanges & Data"
2,"Language","Software"
2,"Language","Interactive Media & Services"
2,"Language","IT Services"
2,"Language","Artificial Intelligence & Language Models"
3,"Arts","Textiles, Apparel & Luxury Goods"
3,"Arts","Personal Care Products"
3,"Arts","Leisure Products"
3,"Arts","Advertising & Design Services"
4,"Science","Life Sciences Tools & Services"
4,"Science","Pharmaceuticals"
4,"Science","Biotechnology"
4,"Science","Healthcare Equipment & Supplies"
5,"General Information","Diversified Financial Services"
5,"General Information","Trading Companies & Distributors"
5,"General Information","Commercial Services & Supplies"
5,"General Information","Data Processing & Outsourced Services"
6,"Literature","Publishing"
6,"Literature","Media"
6,"Literature","Entertainment"
6,"Literature","Internet & Direct Marketing Retail"
7,"Crafts","Household Durables"
7,"Crafts","Paper & Forest Products"
7,"Crafts","Containers & Packaging"
7,"Crafts","Household Products"
8,"Technology","Technology Hardware, Storage & Peripherals"
8,"Technology","Electronic Equipment, Instruments & Components"
8,"Technology","Communications Equipment"
8,"Technology","Telecommunication Services"
9,"History","Metals & Mining"
9,"History","Gold & Precious Metals"
9,"History","Oil, Gas & Consumable Fuels"
9,"History","Coal & Consumable Energy"
10,"Geography","Transportation Infrastructure"
10,"Geography","Air Freight & Logistics"
10,"Geography","Marine Transportation"
10,"Geography","Ground Transportation"
11,"Architecture","Construction & Engineering"
11,"Architecture","Building Products"
11,"Architecture","Automobile Components"
11,"Architecture","Automobiles"
12,"Ecology","Independent Power & Renewable Electricity"
12,"Ecology","Water Utilities"
12,"Ecology","Chemicals"
12,"Ecology","Environmental Engineering & Remediation"
13,"Philosophy","Professional Services"
13,"Philosophy","Diversified Consumer Services"
13,"Philosophy","Research & Development Services"
13,"Philosophy","Ethics & Compliance Advisory"
14,"Law & Governance","Insurance"
14,"Law & Governance","Airlines"
14,"Law & Governance","Government Contracting & Civil Services"
14,"Law & Governance","Legal Infrastructure Services"
15,"Economics","Banking"
15,"Economics","Multiline Retail"
15,"Economics","Specialty Retail"
15,"Economics","Distributors"
16,"Systemics","Semiconductors & Semiconductor Equipment"
16,"Systemics","Aerospace & Defense"
16,"Systemics","Electrical Equipment"
16,"Systemics","Machinery"
